TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Boston Red Sox,AL,162,5623,876,1509,355,31,208,829,569,1253,125,31,.268,.339,.453,.792
New York Yankees,AL,162,5515,851,1374,269,23,267,821,625,1421,63,21,.249,.329,.451,.781
Los Angeles Dodgers,NL,163,5572,804,1394,296,33,235,756,647,1436,75,24,.250,.333,.442,.774
Cleveland Indians,AL,162,5595,818,1447,297,19,216,786,554,1189,135,36,.259,.332,.434,.766
Oakland Athletics,AL,162,5579,813,1407,322,20,227,778,550,1381,35,21,.252,.325,.439,.764
Colorado Rockies,NL,163,5541,780,1418,280,42,210,748,507,1397,95,33,.256,.322,.435,.757
Houston Astros,AL,162,5453,797,1390,278,18,205,763,565,1197,71,26,.255,.329,.425,.754
Washington Nationals,NL,162,5517,771,1402,284,25,191,737,631,1289,119,33,.254,.335,.419,.753
Milwaukee Brewers,NL,163,5542,754,1398,252,24,218,711,537,1458,124,32,.252,.323,.424,.747
Chicago Cubs,NL,163,5624,761,1453,286,34,167,722,576,1388,66,38,.258,.333,.410,.744
Atlanta Braves,NL,162,5582,759,1433,314,29,175,717,511,1290,90,36,.257,.324,.417,.742
Tampa Bay Rays,AL,162,5475,716,1415,274,43,150,664,540,1388,128,51,.258,.333,.406,.740
Toronto Blue Jays,AL,162,5477,709,1336,320,16,217,680,499,1387,47,30,.244,.312,.427,.739
St. Louis Cardinals,NL,162,5498,759,1369,248,9,205,725,525,1380,63,32,.249,.321,.409,.730
Cincinnati Reds,NL,162,5532,696,1404,251,25,172,665,559,1376,77,33,.254,.328,.401,.729
Los Angeles Angels,AL,162,5472,721,1323,249,23,214,690,514,1300,89,22,.242,.313,.413,.726
Pittsburgh Pirates,NL,161,5447,692,1381,290,38,157,665,474,1229,70,38,.254,.317,.407,.724
Minnesota Twins,AL,162,5526,738,1379,317,22,166,704,534,1328,47,27,.250,.318,.405,.723
Texas Rangers,AL,162,5453,737,1308,266,24,194,696,555,1484,74,35,.240,.318,.404,.722
Seattle Mariners,AL,162,5513,677,1402,256,32,176,644,430,1221,79,37,.254,.314,.408,.722
Arizona Diamondbacks,NL,162,5460,693,1283,259,50,176,658,560,1460,79,25,.235,.310,.397,.707
Philadelphia Phillies,NL,162,5424,677,1270,241,30,186,653,582,1520,69,26,.234,.314,.393,.706
Chicago White Sox,AL,162,5523,656,1332,259,40,182,639,425,1594,98,41,.241,.302,.401,.703
New York Mets,NL,162,5468,676,1282,265,34,170,649,566,1404,71,39,.234,.312,.389,.701
Kansas City Royals,AL,162,5505,638,1350,283,29,155,606,427,1310,117,38,.245,.305,.392,.697
Baltimore Orioles,AL,162,5507,622,1317,242,15,188,593,422,1412,81,22,.239,.298,.391,.689
Detroit Tigers,AL,162,5494,630,1326,284,35,135,597,428,1341,70,30,.241,.300,.380,.680
San Diego Padres,NL,162,5486,617,1289,250,30,162,583,471,1523,95,36,.235,.297,.380,.677
San Francisco Giants,NL,162,5541,603,1324,255,30,133,573,448,1467,77,34,.239,.300,.368,.667
Miami Marlins,NL,161,5488,589,1303,222,24,128,554,455,1384,45,31,.237,.303,.357,.659
